Licensee,Type of License,Address,City/Town,Phone,Capacity,Indoor,Patio,On Tap?
LIM GA NE 2,Restaurant,5529 YONGE ST	 	TORONTO	 	ON M2N 5X3,TORONTO,416-435-2700,79,79,0,
LIME ASIAN CUISINE,Restaurant,170 EGLINTON AVE E	 	TORONTO	 	ON M4P 1A6,TORONTO,416-322-5463,93,85,8,
LIME LEAF,Restaurant,1468 VICTORIA PARK AVE                   UNIT #1	 	TORONTO	 	ON M4A 2M2,TORONTO,416-751-2200,54,54,0,
LIN GARDEN RESTAURANT,Restaurant,1804-06 PHARMACY AVE                     (CITY OF SCARBOROUGH)	 	TORONTO	 	ON M1T 1H6,TORONTO,416-491-8484,89,89,0,
LINDA RESTAURANT,Restaurant,11 KARL FRASER ROAD	 	TORONTO	 	ON M3C 0E7,TORONTO,416-642-3866,159,130,29,
LINSMORE TAVERN,Restaurant,1298 DANFORTH AVE	 	TORONTO	 	ON M4J 1M6,TORONTO,416-466-5130,181,181,0,
LION ON THE BEACH,Restaurant,1958 QUEEN ST E	 	TORONTO	 	ON M4L 1H6,TORONTO,416-690-1984,325,150,175,
LISBON BY NIGHT RESTAURANT,Restaurant,802 DUNDAS ST W	 	TORONTO	 	ON M6J 1V3,TORONTO,416-603-6522,160,160,0,
LITHUANIAN COMMUNITY ASSOCIATION OF TORONTO,Restaurant,1573 BLOOR ST. W.	 	TORONTO	 	ON M6P 1A6,TORONTO,416-532-3311,1063,1063,0,
LITTLE ANTHONY'S ITALIAN RESTAURANTE,Restaurant,121 RICHMOND ST W	 	TORONTO	 	ON M5H 2K1,TORONTO,416-368-9076,167,167,0,
LITTLE BIT OF FUN PUB & GRILL,Restaurant,2961 LAKESHORE BLVD W	 	TORONTO	 	ON M8V 1J5,TORONTO,416-253-4416,142,142,0,
LITTLE HUT BAR AND GRILL,Restaurant/Bar,11 WESTMORE DRIVE                        UNIT 9	 	TORONTO	 	ON M9V 3Y6,TORONTO,416-436-4501,141,90,51,
LITTLE INDIA RESTAURANT,Restaurant,255 QUEEN ST W	 	TORONTO	 	ON M5V 1Z4,TORONTO,416-205-9836,84,84,0,
LITTLE TOKYO JAPANESE AND KOREAN RESTAURANT,Restaurant,666 MANNING AVE.	 	TORONTO	 	ON M6G 2W4,TORONTO,416-925-7826,96,50,46,
LIVE HEALTH CAFE INC.,Restaurant,264 DUPONT ST	 	TORONTO	 	ON M5R 1V7,TORONTO,416-515-2002,81,33,48,
LIVERPOOL ARMS PUB,Bar/Sports Bar,9390 SHEPPARD AVE E	 	TORONTO	 	ON M1B 5R5,TORONTO,416-284-2222,100,48,52,
LLOYD'S RESTAURANT,Restaurant,1710 JANE ST	 	TORONTO	 	ON M9N 2S4,TORONTO,416-242-2436,39,39,0,
LOAF & LADLE,Restaurant,901 YONGE ST	 	TORONTO	 	ON M4W 2H2,TORONTO,416-961-4511,76,45,31,
LOBBY LOUNGE AND RESTAURANT,Restaurant,192 BLOOR ST W	 	TORONTO	 	ON M5S 1T8,TORONTO,416-929-7169,228,210,18,
LOBSTER TRAP TAVERN,Restaurant,1962 AVENUE RD	 	TORONTO	 	ON M5M 4A1,TORONTO,416-787-3211,87,87,0,
LOCAL (THE),Restaurant,396 RONCESVALLES AVE	 	TORONTO	 	ON M6R 2M9,TORONTO,416-535-6225,89,69,20,
LOCAL COMPANY (THE),Restaurant/Bar,511 DANFORTH AVE	 	TORONTO	 	ON M4K 1P5,TORONTO,416-465-5522,238,238,0,
LOCAL KITCHEN & WINE BAR,Restaurant,1710 QUEEN ST W	 	TORONTO	 	ON M6R 1B3,TORONTO,416-534-6700,29,29,0,
LOCAL 4 RELAX STATION,Restaurant,4 DUNDONALD ST	 	TORONTO	 	ON M4Y 1K2,TORONTO,416-915-0113,72,52,20,
LOFT COMMUNITY SERVICES - ST. ANNE'S PLACE,Restaurant,661 DUFFERIN ST.	 	TORONTO	 	ON M6K 2B3,TORONTO,416-536-2761,222,222,0,
LOGAN RESTAURANT,Restaurant,807 GERRARD ST. E	 	TORONTO	 	ON M4M 1Y5,TORONTO,416-461-4477,26,26,0,
LOIRE,Restaurant,119 HARBORD ST	 	TORONTO	 	ON M5S 1G7,TORONTO,416-850-8330,103,63,40,
LOKI LOUNGE,Night Club,577 KING ST W                            FIRST FLOOR	 	TORONTO	 	ON M5V 1M1,TORONTO,416-977-0220,107,107,0,
LOL RESTO LOUNGE,Restaurant,718 COLLEGE ST	 	TORONTO	 	ON M6G 1C3,TORONTO,416-730-1070,187,182,5,
LOLA,Restaurant/Bar,7 MAITLAND ST	 	TORONTO	 	ON M4Y 1C8,TORONTO,416-920-0946,62,37,25,
LOLA,Restaurant,40 KENSINGTON AVE	 	TORONTO	 	ON M5T 2J9,TORONTO,416-348-8645,58,43,15,
LOLA SUSHI,Restaurant,2070 YONGE ST	 	TORONTO	 	ON M4S 2A3,TORONTO,416-932-0290,31,31,0,
LOLA'S COMMISSARY,Restaurant,634 CHURCH ST	 	TORONTO	 	ON M4Y 2G3,TORONTO,416-996-3991,110,82,28,
LOLABAR,Restaurant,1173 DUNDAS ST E                         UNIT 128	 	TORONTO	 	ON M4M 3P1,TORONTO,416-913-9486,131,36,95,
LOLITA'S LUST,Restaurant,513 DANFORTH AVE	 	TORONTO	 	ON M4K 1P6,TORONTO,416-465-1751,127,120,7,
LOLO RESTAURANT,Restaurant,2590 YONGE ST	 	TORONTO	 	ON M4P 2J3,TORONTO,416-483-2590,130,118,12,
LONDON DOCK,Restaurant,363 COXWELL AVE	 	TORONTO	 	ON M4L 3B8,TORONTO,416-461-9610,42,42,0,
LONDON TAP HOUSE (THE),Restaurant,250 ADELAIDE ST W	 	TORONTO	 	ON M5H 1X6,TORONTO,416-593-6126,1134,985,149,
LONE STAR CAFE,Restaurant,930 DIXON ROAD	 	TORONTO	 	ON M9W 1J9,TORONTO,416-674-7777,855,747,108,
LONE STAR CAFE - SIMCOE PLACE,Restaurant,200 FRONT ST W	 	TORONTO	 	ON M5V 3J1,TORONTO,416-408-4064,287,266,21,
LONGEST YARD RESTAURANT (THE),Restaurant,535 MOUNT PLEASANT ROAD	 	TORONTO	 	ON M4S 2M5,TORONTO,416-487-6468,105,63,42,
LONGEST YARD RESTAURANT/BAR (THE),Restaurant,3313 BLOOR ST W	 	TORONTO	 	ON M8X 1E7,TORONTO,416-239-9484,141,124,17,
LOONS RESTAURANT & PUB,Restaurant,416A RONCESVALLES AVE	 	TORONTO	 	ON M6R 2N2,TORONTO,416-535-8561,121,30,91,
LOOSE MOOSE TAP & GRILL (THE),Restaurant,146 FRONT ST W	 	TORONTO	 	ON M5J 1G2,TORONTO,416-977-8840,814,814,0,
LOT 16,Restaurant,1136 QUEEN ST. W	 	TORONTO	 	ON M6J 1J3,TORONTO,416-531-6556,48,48,0,
LOT 332,Restaurant,332 RICHMOND ST W	 	TORONTO	 	ON M5V 1X2,TORONTO,416-850-6821,860,488,372,
LOU DAWGS SOUTHERN SANDWICHES,Restaurant,589 KING ST W	 	TORONTO	 	ON M5V 1M6,TORONTO,647-347-3294,30,30,0,
LOUIS AUTHENTIC GYROS,Restaurant,449 DANFORTH AVE	 	TORONTO	 	ON M4K 1P1,TORONTO,416-465-3364,20,20,0,
LOUNGE (THE),Restaurant,5307 A YONGE ST	 	TORONTO	 	ON M2N 5R4,TORONTO,416-551-7150,140,122,18,
LOUNGE EPIQUE,Restaurant/Club,120 CUMBERLAND                           2ND FLOOR	 	TORONTO	 	ON M5R 1A6,TORONTO,416-962-6922,58,58,0,
LOVE AT FIRST BYTE DOWNTOWN NEW YORK PIZZA,Restaurant,96 GERRARD ST. E.	 	TORONTO	 	ON M5B 1G7,TORONTO,416-977-1836,56,28,28,
LOYAL ORDER OF MOOSE LAKESHORE LODGE 392,Restaurant,3751-53 LAKESHORE BLVD. W.	 	TORONTO	 	ON M8W 1P9,TORONTO,416-255-2081,571,571,0,
LUCIEN RESTAURANT,Restaurant,36 WELLINGTON ST. E	 	TORONTO	 	ON M5E 1C7,TORONTO,416-504-9990,120,120,0,
LUCKY CHINESE RESTAURANT,Restaurant,2650 LAWRENCE AVE E                      UNIT #2	 	TORONTO	 	ON M1P 2S1,TORONTO,416-288-0383,61,61,0,
LUCKY GARDEN RESTAURANT,Restaurant,2483 FINCH AVE W	 	TORONTO	 	ON M9M 2G1,TORONTO,416-740-8449,23,23,0,
LUCY ETHOPIA RESTAURANT,Restaurant,1690 DANFORTH AVE	 	TORONTO	 	ON M4C 1H8,TORONTO,416-406-0534,29,29,0,
LULA LOUNGE,Restaurant,1585 DUNDAS ST W	 	TORONTO	 	ON M6K 1T9,TORONTO,416-588-0307,250,250,0,
LUNA LOUNGE,Restaurant,352 MELROSE AVE	 	TORONTO	 	ON M5M 1Z4,TORONTO,416-849-6622,170,75,95,
LUPO RISTORANTE,Restaurant,66 PLUNKETT ROAD	 	TORONTO	 	ON M9L 2J5,TORONTO,416-740-1243,30,30,0,
LYME POOL & LOUNGE (THE),Restaurant,5310 FINCH AVE E                         UNIT  11	 	TORONTO	 	ON M1S 5E8,TORONTO,416-332-4987,40,40,0,
M & B RESTO-BAR & SOCIAL HANGOUT,Restaurant,260 KING ST E                            UNIT A-103	 	TORONTO	 	ON M5A 4L5,TORONTO,416-203-1635,44,44,0,
M.V. EMPRESS OF CANADA,Boat,QUEENS QUAY E                            REAR PIER 27	 	TORONTO	 	ON M5J 2N3,TORONTO,416-340-2407,558,558,0,
M.V. ISLAND PRINCESS,Boat,539 QUEENS QUAY W                        DOCK 1	 	TORONTO	 	ON M5V 2Z3,TORONTO,416-999-1138,63,0,63,
M.V. MARIPOSA BELLE,Boat,QUEENS QUAY W                            HARBOURFRONT	 	TORONTO	 	ON M5J 1A7,TORONTO,416-203-0178,0,0,0,
M.V. NEW BEGINNINGS,Boat,145 QUEENS QUAY W                        PIER 6	 	TORONTO	 	ON M5J 1B7,TORONTO,416-991-0974,0,0,0,
M.Y. CHAFFY DISH RESTAURANT,Restaurant,357 SPADINA AVE                          BASEMENT	 	TORONTO	 	ON M5T 2G3,TORONTO,416-598-0832,80,80,0,
M&B YUMMY CAKES & DESSERT CAFE,Restaurant,1263 QUEEN ST W	 	TORONTO	 	ON M6K 1L5,TORONTO,416-516-2798,30,30,0,
M/V YANKEE LADY III,Boat,261 QUEENS QUAY E                        PIER 29	 	TORONTO	 	ON M5A 1B6,TORONTO,416-868-0000,0,0,0,
MACKENZIE'S BAR & GRILL,Restaurant,1729 BLOOR ST W	 	TORONTO	 	ON M6P 1B2,TORONTO,416-769-7606,116,74,42,
MACKENZIE'S HIGH PARK,Restaurant,1982 BLOOR ST W	 	TORONTO	 	ON M6P 3K9,TORONTO,416-767-7246,70,57,13,
MAD ITALIAN GELATO BAR (THE),Restaurant/Bar,1581 BAYVIEW AVE	 	TORONTO	 	ON M4G 3B5,TORONTO,416-901-4556,50,33,17,
MADANTO PIZZA,Restaurant,2311 YONGE ST	 	TORONTO	 	ON M4P 2C6,TORONTO,416-486-5529,53,53,0,
MADEIRA HOUSE COMMUNITY CENTRE,Restaurant,1621 DUPONT ST.	 	TORONTO	 	ON M6P 3S8,TORONTO,416-533-2401,311,311,0,
MADELINE'S,Restaurant,601 KING ST. W	 	TORONTO	 	ON M5V 1M5,TORONTO,416-603-2205,124,124,0,
MADERA RESTAURANT,Restaurant/Bar,836B DANFORTH AVE	 	TORONTO	 	ON M4J 1L6,TORONTO,416-465-2653,132,125,7,
MADISON AVENUE RESTAURANT,Restaurant,14 MADISON AVE	 	TORONTO	 	ON M5R 2S1,TORONTO,416-927-1722,1962,1330,632,
MADRAS DOSA HUT,Restaurant,1123 ALBION RD	 	TORONTO	 	ON M9V 1A9,TORONTO,416-714-3425,95,95,0,
MADRAS MASALA,Restaurant,796 BLOOR ST W	 	TORONTO	 	ON M6G 1L7,TORONTO,416-536-8292,82,46,36,
MAGGIE'S,Restaurant,20 CHARLES ST E                          UNIT 3	 	TORONTO	 	ON M4Y 1T1,TORONTO,416-924-6244,51,30,21,
MAGIC OVEN,Restaurant,360 QUEEN ST E	 	TORONTO	 	ON M5A 1T1,TORONTO,416-703-3555,108,65,43,
MAGIC OVEN,Restaurant (Franchise),6 WELLESLEY ST W	 	TORONTO	 	ON M4Y 1E7,TORONTO,416-967-7199,42,42,0,
MAGIC OVEN,Restaurant,270 DUPONT ST	 	TORONTO	 	ON M5R 1V7,TORONTO,416-925-3258,66,66,0,
MAGIC OVEN,Restaurant,798 DANFORTH AVE	 	TORONTO	 	ON M4J 1L6,TORONTO,416-462-0333,201,183,18,
MAGIC SPOT GRILL,Restaurant,2973 BLOOR ST W	 	TORONTO	 	ON M8X 1B8,TORONTO,416-233-4244,44,36,8,
MAGIC THAI RESTAURANT,Restaurant,930 QUEEN ST W	 	TORONTO	 	ON M6J 1G6,TORONTO,416-532-3932,58,58,0,
MAGPIE TAVERN,Bar /Tavern /Nightclub,831 DUNDAS ST W	 	TORONTO	 	ON M6J 1V4,TORONTO,416-596-0698,60,60,0,
MAHAR RESTAURANT,Restaurant,1410 GERRARD ST E	 	TORONTO	 	ON M4L 1Z6,TORONTO,416-466-6241,72,72,0,
MAI THAI RESTAURANT & CATERING,Restaurant,2364 YONGE ST.	 	TORONTO	 	ON M4P 2E6,TORONTO,416-488-2250,71,71,0,
MAIN EVENT SPORTS BAR & GRILL,Restaurant,2368 YONGE ST	 	TORONTO	 	ON M4P 2E6,TORONTO,416-544-8070,107,107,0,
MAIN STREET CAFE & BAR,Bar/Sports Bar,1144 THE QUEENSWAY	 	TORONTO	 	ON M8Z 1P7,TORONTO,416-648-6231,30,30,0,
MAKISUSHI,Restaurant,3403 YONGE ST	 	TORONTO	 	ON M4N 2M8,TORONTO,416-485-8984,35,27,8,
MALAK RESTAURANT,Restaurant,3319 BLOOR ST W                          UNIT B	 	TORONTO	 	ON M8X 1E7,TORONTO,416-644-6444,30,30,0,
MALENA RESTAURANT,Restaurant,120 AVENUE RD	 	TORONTO	 	ON M5R 2H4,TORONTO,416-966-3631,98,98,0,
MALTESE CANADIAN SOCIETY OF TORONTO INC.,Social Club,3132 DUNDAS ST W	 	TORONTO	 	ON M6P 2A1,TORONTO,416-767-3645,71,71,0,
MAMBO LOUNGE,Restaurant,120 DANFORTH AVE	 	TORONTO	 	ON M4K 1N1,TORONTO,416-778-7004,72,35,37,
MAMMA'S PIZZA,Restaurant,405-07 RICHMOND ST W	 	TORONTO	 	ON M5V 1X3,TORONTO,416-598-8886,67,56,11,
MAMMA'S PIZZA,Restaurant,118 YONGE ST.                            1 SOUTH	 	TORONTO	 	ON M5C 1X3,TORONTO,416-369-0097,30,30,0,
MANA BAR & LOUNGE,Restaurant,722 COLLEGE ST                           BASEMENT	 	TORONTO	 	ON M6G 1C4,TORONTO,416-875-8908,337,312,25,
MANDARIN RESTAURANT - YONGE,Restaurant,2200 YONGE ST	 	TORONTO	 	ON M4S 2C6,TORONTO,416-486-2222,394,394,0,
MANDOO HYANG RESTAURANT,Restaurant,6068 YONGE ST	 	TORONTO	 	ON M2M 3W6,TORONTO,416-512-2007,35,35,0,
MANGIA CAKE PANINI SHOPPE,Restaurant,160 MCCAUL ST.	 	TORONTO	 	ON M5T 1W4,TORONTO,416-260-5156,34,30,4,
MANGIA MANGIA MANGIA,Restaurant,"4700 KEELE ST.                           ""YORK LANES"" MALL UNITS 14 & 15	 	TORONTO	 	ON M3J 1P3",TORONTO,416-736-9484,56,56,0,
MANPASAND INDIAN CUISINE,Restaurant,3301 MCNICOLL AV                         UNIT 1-2	 	TORONTO	 	ON M1V 5H5,TORONTO,416-335-0256,30,30,0,
MANPUKU,Restaurant,109 MCCAUL ST                            UNITS 29-31	 	TORONTO	 	ON M5T 3K5,TORONTO,416-979-6763,55,55,0,
MANSION,Night Club,102 PETER ST	 	TORONTO	 	ON M5V 2G7,TORONTO,416-599-2224,890,890,0,
MAPLE LEAF HOUSE GRILL & LOUNGE,Restaurant,2749 LAKESHORE BLVD W	 	TORONTO	 	ON M8V 1H2,TORONTO,416-255-2558,394,234,160,
MAPLE LEAF SPORTS BAR & GRILL,Night Club,826-828 DANFORTH AVE	 	TORONTO	 	ON M4J 1L6,TORONTO,416-466-0521,131,110,21,
MAPLE LEAF TAVERN,Restaurant,955 GERRARD ST E	 	TORONTO	 	ON M4M 1Z4,TORONTO,416-463-6309,134,134,0,
MARBEN RESTAURANT,Restaurant,488 WELLINGTON ST W                      UNIT 102	 	TORONTO	 	ON M5V 1E3,TORONTO,416-979-1990,192,154,38,
MARCEL'S,Restaurant/Bar,315-317 KING ST. W	 	TORONTO	 	ON M5V 1J5,TORONTO,416-591-8600,197,197,0,
MARCELLO'S PIZZERIA,Restaurant,1163 ST CLAIR AVE W	 	TORONTO	 	ON M6E 1B2,TORONTO,416-656-6159,94,84,10,
MARCO POLO RESTAURANT,Restaurant,3307 BAYVIEW AVE	 	TORONTO	 	ON M2K 1G4,TORONTO,416-250-7656,40,40,0,
MARCUS GARVEY BAR & GRILL,Restaurant,614 TRETHEWAY DRIVE	 	TORONTO	 	ON M6M 4G3,TORONTO,416-913-5190,80,80,0,
MARGARET,Restaurant,2952 DUNDAS ST W	 	TORONTO	 	ON M6P 1Y8,TORONTO,416-762-3373,58,58,0,
MARGARITAS FIESTA ROOM,Restaurant,14 BALDWIN ST	 	TORONTO	 	ON M5T 1L2,TORONTO,416-977-5525,97,59,38,
MARGARITAS FIESTA ROOM,Restaurant,229 CARLTON ST	 	TORONTO	 	ON M5A 2L2,TORONTO,416-929-6284,184,106,78,
MARIA'S SPORTS BAR,Restaurant,1135 COLLEGE ST	 	TORONTO	 	ON M6H 1B5,TORONTO,416-537-0322,118,105,13,
MARIACHI LOCO RESTAURANT INC.,Restaurant,2084 YONGE ST	 	TORONTO	 	ON M4S 2A3,TORONTO,416-481-7111,68,51,17,
MARIKO JAPANESE RESTAURANT,Restaurant,551 BLOOR ST W	 	TORONTO	 	ON M5S 1Y6,TORONTO,416-516-3030,30,30,0,
MARIKO JAPANESE RESTAURANT,Restaurant,355 1/2 YONGE ST	 	TORONTO	 	ON M5B 1S1,TORONTO,416-850-6216,30,30,0,
MARINA GRILLE,Restaurant,955 LAKE SHORE BLVD. W                   ONTARIO PLACE	 	TORONTO	 	ON M6K 3B9,TORONTO,416-979-3782,2043,705,1338,
MARINELLA AUTHENTIC ITALIAN CUISINE,Restaurant,640 COLLEGE ST	 	TORONTO	 	ON M6G 1B4,TORONTO,416-348-9200,115,76,39,
MARIO'S PASTA BAR GRILL & INDIAN CUISINE,Restaurant/Bar,5555 EGLINTON AVE W                      BUILDING C1	 	TORONTO	 	ON M9C 5M1,TORONTO,416-695-9178,224,150,74,
MARITIMO SPORTS BAR,Bar/Sports Bar,1543 DUNDAS ST W	 	TORONTO	 	ON M6K 1T6,TORONTO,416-537-4221,62,62,0,
MARKLAND RESTAURANT & PUB (THE),Restaurant,666 BURNHAMTHORPE RD                     UNIT 20	 	TORONTO	 	ON M9C 2Z4,TORONTO,416-626-7606,175,151,24,
MARLEE SPORTS BAR,Bar /Tavern /Nightclub,210 MARLEE AVE	 	TORONTO	 	ON M6B 3H6,TORONTO,416-782-3300,78,58,20,
MARO,Restaurant,135 LIBERTY ST	 	TORONTO	 	ON M6K 1A7,TORONTO,416-588-2888,850,558,292,
MAROLI,Restaurant,630 BLOOR ST W	 	TORONTO	 	ON M6G 1K7,TORONTO,416-483-5393,26,26,0,
MARRON BISTRO MODERNE,Restaurant,948 EGLINTON AVE W	 	TORONTO	 	ON M6C 2C2,TORONTO,416-784-0128,30,30,0,
MARS DINER,Restaurant,1987 QUEEN ST E	 	TORONTO	 	ON M4L 1J1,TORONTO,647-299-5494,140,115,25,
MARS MUFFIN KING,Restaurant,432 COLLEGE ST	 	TORONTO	 	ON M5T 1T3,TORONTO,416-921-6332,55,55,0,
MARVELLOUS EDIBLES-LEASIDE,Restaurant,120 LAIRD DRIVE	 	TORONTO	 	ON M4G 3V3,TORONTO,416-425-7623,60,60,0,
MARY'S FRIENDS BAR & GRILL,Restaurant,268 DUNDAS ST E	 	TORONTO	 	ON M5A 1Z9,TORONTO,416-915-0041,69,69,0,
MASA SUSHI JAPANESE RESTAURANT,Hotel/Motel,15 CHARLES ST E	 	TORONTO	 	ON M4Y 1S1,TORONTO,416-920-3388,318,269,49,
MASALA ART,Restaurant,1404 YONGE ST	 	TORONTO	 	ON M4T 1Y5,TORONTO,647-340-0160,30,30,0,
MASHU MASHU MEDITERRANEAN GRILL,Restaurant,387 SPADINA ROAD	 	TORONTO	 	ON M5P 2W1,TORONTO,416-840-0848,75,75,0,
MASSEY COLLEGE,Restaurant,4 DEVONSHIRE PLACE	 	TORONTO	 	ON M5S 2E1,TORONTO,416-978-2895,334,334,0,
MASSEY HALL,Theatre,178 VICTORIA ST	 	TORONTO	 	ON M5B 1T7,TORONTO,416-363-7624,3158,3158,0,
MASTERS BUFFETERIA CATERING,Restaurant,310 BLOOR ST. W	 	TORONTO	 	ON M5S 1W4,TORONTO,416-924-7651,380,380,0,
MASTRO NICK PIZZERIA & RESTAURANT INC.,Restaurant,1755 KEELE ST	 	TORONTO	 	ON M6M 3W9,TORONTO,416-651-6001,59,45,14,
MASTRO'S PLACE,Restaurant,890 WILSON AVE	 	TORONTO	 	ON M3K 1E7,TORONTO,,289,256,33,
MATAGALI RESTAURANT,Restaurant,69 ELM ST.	 	TORONTO	 	ON M5G 1H2,TORONTO,416-599-9994,25,25,0,
MATAHARI BAR & GRILL,Restaurant,39 BALDWIN ST	 	TORONTO	 	ON M5T 1L1,TORONTO,416-596-2832,60,50,10,
MATTINO RESTAURANT AND BAR,Restaurant/Bar,596 COLLEGE ST	 	TORONTO	 	ON M6G 1B4,TORONTO,416-531-2822,66,30,36,
MAVERICKS PUB,Restaurant,804 DANFORTH AVE	 	TORONTO	 	ON M4J 1L6,TORONTO,416-350-1782,86,74,12,
MAXIMO'S ITALIAN KITCHEN BAR & GRILL,Hotel/Motel,1302 QUEEN ST W	 	TORONTO	 	ON M6K 1L4,TORONTO,416-830-1199,443,443,0,
MAY CAFE,Restaurant,876 DUNDAS ST W	 	TORONTO	 	ON M6J 1V7,TORONTO,416-890-5249,64,64,0,
MAYA,Restaurant,918 WILSON AVE                           NORTH YORK	 	TORONTO	 	ON M3K 1E7,TORONTO,416-633-8705,38,34,4,
MAYBLE'S RESTAURANT & BAR,Restaurant,1602 EGLINTON AVE W	 	TORONTO	 	ON M6E 2G8,TORONTO,416-783-0555,40,30,10,
MAYDAY MALONE'S PUB & RISTORANTE,Restaurant,1078 BATHURST ST	 	TORONTO	 	ON M5R 3G9,TORONTO,416-531-8064,156,116,40,
MAYFAIR LAKESHORE RACQUET CLUB,Social Club,801 LAKESHORE BLVD E	 	TORONTO	 	ON M4M 1B2,TORONTO,416-466-3777,806,759,47,
MAZZ RESTAURANT,Restaurant,993 1/2 BLOOR ST W	 	TORONTO	 	ON M6H 1M1,TORONTO,416-536-7631,42,42,0,
MB CO. YORKVILLE,Restaurant,100 BLOOR ST W                           UNIT #7	 	TORONTO	 	ON M5S 3L3,TORONTO,416-961-6226,53,27,26,
MCCARTHYS,Restaurant,1801 GERRARD ST. E	 	TORONTO	 	ON M4L 2B5,TORONTO,416-778-7516,35,20,15,
MCGRADIES TAP & GRILL,Restaurant,2167 VICTORIA PARK AVE	 	TORONTO	 	ON M1R 1V6,TORONTO,416-449-1212,215,150,65,
MCMURPHY'S PUB,Restaurant,381 EGLINTON AVE E	 	TORONTO	 	ON M4P 1M5,TORONTO,416-489-1111,47,40,7,
MCSORLEY'S SALOON & GRILL,Restaurant,1544 BAYVIEW AVE	 	TORONTO	 	ON M4G 3B6,TORONTO,416-932-0655,126,106,20,
MCVEIGH'S NEW WINDSOR,Restaurant,124 CHURCH ST	 	TORONTO	 	ON M5C 2G8,TORONTO,416-364-9698,200,170,30,
MEDIEVAL TIMES DINNER & TOURNAMENT,Restaurant,"EXHIBITION PLACE                         (ARTS, CRAFTS & HOBBIES BUILDING)	 	TORONTO	 	ON M6K 3C3",TORONTO,416-260-1170,2456,2456,0,
MEDITERRA RESTAURANT,Restaurant,133 RICHMOND ST W                        SUITE 100	 	TORONTO	 	ON M5H 2L3,TORONTO,416-861-1211,124,124,0,
MEDITERRANEAN SOCIAL CLUB,Social Club,2215 DANFORTH AVE	 	TORONTO	 	ON M4C 1K4,TORONTO,416-691-7678,150,150,0,
MEGA WRAPS,Restaurant,515 CONSUMERS ROAD                       UNIT 104	 	TORONTO	 	ON M2J 4Z2,TORONTO,416-494-9464,50,50,0,
MEGAS,Restaurant,402 DANFORTH AVE	 	TORONTO	 	ON M4K 1O3,TORONTO,416-466-7771,171,145,26,
MELANIE'S BISTRO/PATISSERIE,Restaurant,1870 DANFORTH AVE	 	TORONTO	 	ON M4C 1J4,TORONTO,416-422-1870,81,73,8,
MELITA SOCCER CLUB,Restaurant,3336 DUNDAS ST W	 	TORONTO	 	ON M6P 2A4,TORONTO,416-763-5317,224,224,0,
MEMPHIS SMOKE HOUSE,Restaurant/Bar,4916 YONGE ST	 	TORONTO	 	ON M2N 5N5,TORONTO,416-225-4343,94,66,28,
MENALON RESTAURANT,Restaurant,841 BLOOR ST W	 	TORONTO	 	ON M6G 1M3,TORONTO,416-536-7178,83,44,39,
MENGRAI GOURMET THAI,Restaurant,82 ONTARIO ST	 	TORONTO	 	ON M5A 2V3,TORONTO,416-840-2759,105,105,0,
MEONG DONG SOON TOFU,Restaurant,620 BLOOR ST W	 	TORONTO	 	ON M6G 1K7,TORONTO,416-588-2700,35,35,0,
MERCATTO,Restaurant,330 BAY ST                               SUITE 100	 	TORONTO	 	ON M5H 2S8,TORONTO,416-306-0467,124,100,24,
MERCATTO,Restaurant,15 TORONTO ST.	 	TORONTO	 	ON M5C 2E3,TORONTO,416-366-4567,55,40,15,
MERCATTO,Restaurant,101 COLLEGE ST	 	TORONTO	 	ON M5G 1L7,TORONTO,416-306-0467,122,86,36,
MERCI MON AMI,Restaurant,171 EAST LIBERTY ST                      UNIT 107	 	TORONTO	 	ON M6K 3P6,TORONTO,647-432-3832,58,30,28,
MESKEREM RESTAURANT AND BAR,Restaurant,1333 DANFORTH AVE	 	TORONTO	 	ON M4J 1N1,TORONTO,416-882-1304,41,41,0,
MESSINI GYROS & SOUVLAKI,Restaurant,445 DANFORTH AVE	 	TORONTO	 	ON M4P 1P2,TORONTO,416-778-4861,79,72,7,
MESSIS,Restaurant,97 HARBORD ST.	 	TORONTO	 	ON M5S 1G4,TORONTO,416-920-2186,135,70,65,
META DOS LEITOES,Restaurant/Bar,218 GEARY AVE	 	TORONTO	 	ON M6H 2C3,TORONTO,416-516-8119,57,20,37,
METRO GOLF DOME,Gaming Facility,125 MILNER AVE	 	TORONTO	 	ON M1S 3R1,TORONTO,416-321-9331,100,100,0,
METRO KENNEDY GARDEN RESTAURANT,Restaurant,3616 DUFFERIN ST	 	TORONTO	 	ON M3K 1N7,TORONTO,416-633-0955,38,38,0,
METRO PIZZA,Restaurant,2493 FINCH AVE W	 	TORONTO	 	ON M9M 2G1,TORONTO,416-742-1771,20,20,0,
METRO TORONTO BAR & GRILL,Restaurant/Bar,1249 ST CLAIR AVE W	 	TORONTO	 	ON M6E 1B8,TORONTO,656-656-5204,105,105,0,
METROPOLITAN G.O. CENTRE INC.,Banquet Hall,3840 FINCH AVE E	 	TORONTO	 	ON M1T 3T4,TORONTO,416-291-4367,1137,1137,0,
METROPOLITAN HOTEL,Hotel/Motel,108 CHESTNUT ST	 	TORONTO	 	ON M5G 1R3,TORONTO,416-597-6341,1119,1119,0,
METROPOLITAN RESTAURANT & BAR,Restaurant,20 VICTORIA ST.	 	TORONTO	 	ON M5C 2N8,TORONTO,416-868-6748,60,40,20,
